Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Date,Year,Month,Sentiment,Review_Length,Clean_Text,Processed_Text,Final_Text,Dominant_Topic,Topic_Name,Topic_Confidence
11,B0001PB9FE,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,The Best Hot Sauce in the World,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",2005-02-08,2005,2005-02,Positive,779,i don t know if it s the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away when we realized that we simply couldn t find it anywhere in our city we were bummed br br now because of the magic of the internet we have a case of the sauce and are ecstatic because of it br br if you love hot sauce i mean really love hot sauce but don t want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other sauce br br thank you for the personal incredible service,know cactus tequila unique combination ingredients flavour hot sauce makes one kind picked bottle trip brought back home us totally blown away realized simply find anywhere city bummed br br magic internet case sauce ecstatic br br love hot sauce mean really love hot sauce want sauce tastelessly burns throat grab bottle tequila picante gourmet de inclan realize taste never want use sauce br br thank personal incredible service,know cactus tequila unique combination ingredient flavour hot sauce make one kind picked bottle trip brought back home u totally blown away realized simply find anywhere city bummed br br magic internet case sauce ecstatic br br love hot sauce mean really love hot sauce want sauce tastelessly burn throat grab bottle tequila picante gourmet de inclan realize taste never want use sauce br br thank personal incredible service,1,Food & Pet Products,0.09081
12,B0009XLVG0,A2725IB4YY9JEB,"A Poeng ""SparkyGoHome""",4,4,5,1282867200,"My cats LOVE this ""diet"" food better than their regular food","One of my boys needed to lose some weight and the other didn't.  I put this food on the floor for the chubby guy, and the protein-rich, no by-product food up higher where only my skinny boy can jump.  The higher food sits going stale.  They both really go for this food.  And my chubby boy has been losing about an ounce a week.",2010-08-27,2010,2010-08,Positive,328,one of my boys needed to lose some weight and the other didn t i put this food on the floor for the chubby guy and the protein rich no by product food up higher where only my skinny boy can jump the higher food sits going stale they both really go for this food and my chubby boy has been losing about an ounce a week,one boys needed lose weight put food floor chubby guy protein rich product food higher skinny boy jump higher food sits going stale really go food chubby boy losing ounce week,one boy needed lose weight put food floor chubby guy protein rich product food higher skinny boy jump higher food sits going stale really go food chubby boy losing ounce week,3,Tea & Beverages,0.05679
13,B0009XLVG0,A327PCT23YH90,LT,1,1,1,1339545600,My Cats Are Not Fans of the New Food,"My cats have been happily eating Felidae Platinum for more than two years. I just got a new bag and the shape of the food is different. They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food. I've noticed similar reviews related to formula changes in the past. Unfortunately, I now need to find a new food that my cats will eat.",2012-06-13,2012,2012-06,Negative,399,my cats have been happily eating felidae platinum for more than two years i just got a new bag and the shape of the food is different they tried the new food when i first put it in their bowls and now the bowls sit full and the kitties will not touch the food i ve noticed similar reviews related to formula changes in the past unfortunately i now need to find a new food that my cats will eat,cats happily eating felidae platinum two years got new bag shape food different tried new food first put bowls bowls sit full kitties touch food noticed similar reviews related formula changes past unfortunately need find new food cats eat,cat happily eating felidae platinum two year got new bag shape food different tried new food first put bowl bowl sit full kitty touch food noticed similar review related formula change past unfortunately need find new food cat eat,3,Tea & Beverages,0.079602
14,B001GVISJM,A18ECVX2RJ7HUE,"willie ""roadie""",2,2,4,1288915200,fresh and greasy!,good flavor! these came securely packed... they were fresh and delicious! i love these Twizzlers!,2010-11-05,2010,2010-11,Positive,97,good flavor these came securely packed they were fresh and delicious i love these twizzlers,good flavor came securely packed fresh delicious love twizzlers,good flavor came securely packed fresh delicious love twizzlers,3,Tea & Beverages,0.040865
15,B001GVISJM,A2MUGFV2TDQ47K,"Lynrie ""Oh HELL no""",4,5,5,1268352000,Strawberry Twizzlers - Yummy,The Strawberry Twizzlers are my guilty pleasure - yummy. Six pounds will be around for a while with my son and I.,2010-03-12,2010,2010-03,Positive,113,the strawberry twizzlers are my guilty pleasure yummy six pounds will be around for a while with my son and i,strawberry twizzlers guilty pleasure yummy six pounds around son,strawberry twizzlers guilty pleasure yummy six pound around son,3,Tea & Beverages,0.015903
16,B001GVISJM,A1CZX3CP8IKQIJ,Brian A. Lee,4,5,5,1262044800,"Lots of twizzlers, just what you expect.",My daughter loves twizzlers and this shipment of six pounds really hit the spot. It's exactly what you would expect...six packages of strawberry twizzlers.,2009-12-29,2009,2009-12,Positive,155,my daughter loves twizzlers and this shipment of six pounds really hit the spot it s exactly what you would expect six packages of strawberry twizzlers,daughter loves twizzlers shipment six pounds really hit spot exactly would expect six packages strawberry twizzlers,daughter love twizzlers shipment six pound really hit spot exactly would expect six package strawberry twizzlers,3,Tea & Beverages,0.03225
17,B001GVISJM,A3KLWF6WQ5BNYO,Erica Neathery,0,0,2,1348099200,poor taste,I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them.,2012-09-20,2012,2012-09,Negative,195,i love eating them and they are good for watching tv and looking at movies it is not too sweet i like to transfer them to a zip lock baggie so they stay fresh so i can take my time eating them,love eating good watching tv looking movies sweet like transfer zip lock baggie stay fresh take time eating,love eating good watching tv looking movie sweet like transfer zip lock baggie stay fresh take time eating,3,Tea & Beverages,0.045205
18,B001GVISJM,AFKW14U97Z6QO,Becca,0,0,5,1345075200,Love it!,I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more.,2012-08-16,2012,2012-08,Positive,141,i am very satisfied with my twizzler purchase i shared these with others and we have all enjoyed them i will definitely be ordering more,satisfied twizzler purchase shared others enjoyed definitely ordering,satisfied twizzler purchase shared others enjoyed definitely ordering,2,Chips & Snack Flavors,0.011465
19,B001GVISJM,A2A9X58G2GTBLP,Wolfee1,0,0,5,1324598400,GREAT SWEET CANDY!,"Twizzlers, Strawberry my childhood favorite candy, made in Lancaster Pennsylvania by Y & S Candies, Inc. one of the oldest confectionery Firms in the United States, now a Subsidiary of the Hershey Company, the Company was established in 1845 as Young and Smylie, they also make Apple Licorice Twists, Green Color and Blue Raspberry Licorice Twists, I like them all<br /><br />I keep it in a dry cool place because is not recommended it to put it in the fridge. According to the Guinness Book of Records, the longest Licorice Twist ever made measured 1.200 Feet (370 M) and weighted 100 Pounds (45 Kg) and was made by Y & S Candies, Inc. This Record-Breaking Twist became a Guinness World Record on July 19, 1998. This Product is Kosher! Thank You",2011-12-23,2011,2011-12,Positive,746,twizzlers strawberry my childhood favorite candy made in lancaster pennsylvania by y s candies inc one of the oldest confectionery firms in the united states now a subsidiary of the hershey company the company was established in as young and smylie they also make apple licorice twists green color and blue raspberry licorice twists i like them all br br i keep it in a dry cool place because is not recommended it to put it in the fridge according to the guinness book of records the longest licorice twist ever made measured feet m and weighted pounds kg and was made by y s candies inc this record breaking twist became a guinness world record on july this product is kosher thank you,twizzlers strawberry childhood favorite candy made lancaster pennsylvania candies inc one oldest confectionery firms united states subsidiary hershey company company established young smylie also make apple licorice twists green color blue raspberry licorice twists like br br keep dry cool place recommended put fridge according guinness book records longest licorice twist ever made measured feet weighted pounds kg made candies inc record breaking twist became guinness world record july product kosher thank,twizzlers strawberry childhood favorite candy made lancaster pennsylvania candy inc one oldest confectionery firm united state subsidiary hershey company company established young smylie also make apple licorice twist green color blue raspberry licorice twist like br br keep dry cool place recommended put fridge according guinness book record longest licorice twist ever made measured foot weighted pound kg made candy inc record breaking twist became guinness world record july product kosher thank,1,Food & Pet Products,0.030568
20,B001GVISJM,A3IV7CL2C13K2U,Greg,0,0,5,1318032000,Home delivered twizlers,Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me.,2011-10-08,2011,2011-10,Positive,145,candy was delivered very fast and was purchased at a reasonable price i was home bound and unable to get to a store so this was perfect for me,candy delivered fast purchased reasonable price home bound unable get store perfect,candy delivered fast purchased reasonable price home bound unable get store perfect,3,Tea & Beverages,0.044904
21,B001GVISJM,A1WO0KGLPR5PV6,mom2emma,0,0,5,1313452800,Always fresh,"My husband is a Twizzlers addict.  We've bought these many times from Amazon because we're government employees living overseas and can't get them in the country we are assigned to.  They've always been fresh and tasty, packed well and arrive in a timely manner.",2011-08-16,2011,2011-08,Positive,262,my husband is a twizzlers addict we ve bought these many times from amazon because we re government employees living overseas and can t get them in the country we are assigned to they ve always been fresh and tasty packed well and arrive in a timely manner,husband twizzlers addict bought many times amazon government employees living overseas get country assigned always fresh tasty packed well arrive timely manner,husband twizzlers addict bought many time amazon government employee living overseas get country assigned always fresh tasty packed well arrive timely manner,3,Tea & Beverages,0.040889
22,B001GVISJM,AZOF9E17RGZH8,Tammy Anderson,0,0,5,1308960000,TWIZZLERS,"I bought these for my husband who is currently overseas. He loves these, and apparently his staff likes them also.<br />There are generous amounts of Twizzlers in each 16-ounce bag, and this was well worth the price. <a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",2011-06-25,2011,2011-06,Positive,323,i bought these for my husband who is currently overseas he loves these and apparently his staff likes them also br there are generous amounts of twizzlers in each ounce bag and this was well worth the price a href strawberry ounce bags pack of a,bought husband currently overseas loves apparently staff likes also br generous amounts twizzlers ounce bag well worth price href strawberry ounce bags pack,bought husband currently overseas love apparently staff like also br generous amount twizzlers ounce bag well worth price href strawberry ounce bag pack,1,Food & Pet Products,0.036038
23,B001GVISJM,ARYVQL4N737A1,Charles Brown,0,0,5,1304899200,Delicious product!,I can remember buying this candy as a kid and the quality hasn't dropped in all these years. Still a superb product you won't be disappointed with.,2011-05-09,2011,2011-05,Positive,147,i can remember buying this candy as a kid and the quality hasn t dropped in all these years still a superb product you won t be disappointed with,remember buying candy kid quality dropped years still superb product disappointed,remember buying candy kid quality dropped year still superb product disappointed,3,Tea & Beverages,0.043728
24,B001GVISJM,AJ613OLZZUG7V,Mare's,0,0,5,1304467200,Twizzlers,I love this candy.  After weight watchers I had to cut back but still have a craving for it.,2011-05-04,2011,2011-05,Positive,92,i love this candy after weight watchers i had to cut back but still have a craving for it,love candy weight watchers cut back still craving,love candy weight watcher cut back still craving,3,Tea & Beverages,0.031662
25,B001GVISJM,A22P2J09NJ9HKE,"S. Cabanaugh ""jilly pepper""",0,0,5,1295481600,Please sell these in Mexico!!,"I have lived out of the US for over 7 yrs now, and I so miss my Twizzlers!!  When I go back to visit or someone visits me, I always stock up.  All I can say is YUM!<br />Sell these in Mexico and you will have a faithful buyer, more often than I'm able to buy them right now.",2011-01-20,2011,2011-01,Positive,274,i have lived out of the us for over yrs now and i so miss my twizzlers when i go back to visit or someone visits me i always stock up all i can say is yum br sell these in mexico and you will have a faithful buyer more often than i m able to buy them right now,lived us yrs miss twizzlers go back visit someone visits always stock say yum br sell mexico faithful buyer often able buy right,lived u yr miss twizzlers go back visit someone visit always stock say yum br sell mexico faithful buyer often able buy right,1,Food & Pet Products,0.031012
26,B001GVISJM,A3FONPR03H3PJS,"Deborah S. Linzer ""Cat Lady""",0,0,5,1288310400,Twizzlers - Strawberry,"Product received is as advertised.<br /><br /><a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",2010-10-29,2010,2010-10,Positive,152,product received is as advertised br br a href strawberry ounce bags pack of a,product received advertised br br href strawberry ounce bags pack,product received advertised br br href strawberry ounce bag pack,1,Food & Pet Products,0.122034
27,B001GVISJM,A3RXAU2N8KV45G,lady21,0,1,1,1332633600,Nasty No flavor,"The candy is just red , No flavor . Just  plan and chewy .  I would never buy them again",2012-03-25,2012,2012-03,Negative,88,the candy is just red no flavor just plan and chewy i would never buy them again,candy red flavor plan chewy would never buy,candy red flavor plan chewy would never buy,3,Tea & Beverages,0.034989
28,B001GVISJM,AAAS38B98HMIK,Heather Dube,0,1,4,1331856000,Great Bargain for the Price,I was so glad Amazon carried these batteries.  I have a hard time finding them elsewhere because they are such a unique size.  I need them for my garage door opener.<br />Great deal for the price.,2012-03-16,2012,2012-03,Positive,196,i was so glad amazon carried these batteries i have a hard time finding them elsewhere because they are such a unique size i need them for my garage door opener br great deal for the price,glad amazon carried batteries hard time finding elsewhere unique size need garage door opener br great deal price,glad amazon carried battery hard time finding elsewhere unique size need garage door opener br great deal price,3,Tea & Beverages,0.041904
29,B00144C10S,A2F4LZVGFLD1OB,DaisyH,0,0,5,1338854400,YUMMY!,"I got this for my Mum who is not diabetic but needs to watch her sugar intake, and my father who simply chooses to limit unnecessary sugar intake - she's the one with the sweet tooth - they both LOVED these toffees, you would never guess that they're sugar-free and it's so great that you can eat them pretty much guilt free!  i was so impressed that i've ordered some for myself (w dark chocolate) to take to the office so i'll eat them instead of snacking on sugary sweets.<br />These are just EXCELLENT!",2012-06-05,2012,2012-06,Positive,506,i got this for my mum who is not diabetic but needs to watch her sugar intake and my father who simply chooses to limit unnecessary sugar intake she s the one with the sweet tooth they both loved these toffees you would never guess that they re sugar free and it s so great that you can eat them pretty much guilt free i was so impressed that i ve ordered some for myself w dark chocolate to take to the office so i ll eat them instead of snacking on sugary sweets br these are just excellent,got mum diabetic needs watch sugar intake father simply chooses limit unnecessary sugar intake one sweet tooth loved toffees would never guess sugar free great eat pretty much guilt free impressed ordered w dark chocolate take office eat instead snacking sugary sweets br excellent,got mum diabetic need watch sugar intake father simply chooses limit unnecessary sugar intake one sweet tooth loved toffee would never guess sugar free great eat pretty much guilt free impressed ordered w dark chocolate take office eat instead snacking sugary sweet br excellent,3,Tea & Beverages,0.061067
30,B0001PB9FY,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,The Best Hot Sauce in the World,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",2005-02-08,2005,2005-02,Positive,779,i don t know if it s the cactus or the tequila or just the unique combination of ingredients but the flavour of this hot sauce makes it one of a kind we picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away when we realized that we simply couldn t find it anywhere in our city we were bummed br br now because of the magic of the internet we have a case of the sauce and are ecstatic because of it br br if you love hot sauce i mean really love hot sauce but don t want a sauce that tastelessly burns your throat grab a bottle of tequila picante gourmet de inclan just realize that once you taste it you will never want to use any other sauce br br thank you for the personal incredible service,know cactus tequila unique combination ingredients flavour hot sauce makes one kind picked bottle trip brought back home us totally blown away realized simply find anywhere city bummed br br magic internet case sauce ecstatic br br love hot sauce mean really love hot sauce want sauce tastelessly burns throat grab bottle tequila picante gourmet de inclan realize taste never want use sauce br br thank personal incredible service,know cactus tequila unique combination ingredient flavour hot sauce make one kind picked bottle trip brought back home u totally blown away realized simply find anywhere city bummed br br magic internet case sauce ecstatic br br love hot sauce mean really love hot sauce want sauce tastelessly burn throat grab bottle tequila picante gourmet de inclan realize taste never want use sauce br br thank personal incredible service,1,Food & Pet Products,0.09081
31,B003F6UO7K,AFM0O9480F04W,Sherril,0,0,5,1297641600,Great machine!,"I have never been a huge coffee fan. However, my mother purchased this little machine and talked me into trying the Latte Macciato. No Coffee Shop has a better one and I like most of the other products, too (as a usually non-coffee drinker!).<br />The little Dolche Guesto Machine is super easy to use and prepares a really good Coffee/Latte/Cappuccino/etc in less than a minute (if water is heated up). I would recommend the Dolce Gusto to anyone. Too good for the price and I'am getting one myself! :)",2011-02-14,2011,2011-02,Positive,503,i have never been a huge coffee fan however my mother purchased this little machine and talked me into trying the latte macciato no coffee shop has a better one and i like most of the other products too as a usually non coffee drinker br the little dolche guesto machine is super easy to use and prepares a really good coffee latte cappuccino etc in less than a minute if water is heated up i would recommend the dolce gusto to anyone too good for the price and i am getting one myself,never huge coffee fan however mother purchased little machine talked trying latte macciato coffee shop better one like products usually non coffee drinker br little dolche guesto machine super easy use prepares really good coffee latte cappuccino etc less minute water heated would recommend dolce gusto anyone good price getting one,never huge coffee fan however mother purchased little machine talked trying latte macciato coffee shop better one like product usually non coffee drinker br little dolche guesto machine super easy use prepares really good coffee latte cappuccino etc less minute water heated would recommend dolce gusto anyone good price getting one,5,"Pancake, Waffle & Baking Mixes",0.195324
32,B003F6UO7K,A31OQO709M20Y7,"Molly V. Smith ""staral""",0,1,5,1288310400,THIS IS MY TASTE...,"This offer is a great price and a great taste, thanks Amazon for selling this product.<br /><br />Staral",2010-10-29,2010,2010-10,Positive,104,this offer is a great price and a great taste thanks amazon for selling this product br br staral,offer great price great taste thanks amazon selling product br br staral,offer great price great taste thanks amazon selling product br br staral,1,Food & Pet Products,0.115527
33,B001EO5QW8,AOVROBZ8BNTP7,S. Potter,19,19,4,1163376000,Best of the Instant Oatmeals,"McCann's Instant Oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it. There is no escaping the fact, however, that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation.  Still, the McCann's is as good as it gets for instant oatmeal. It's even better than the organic, all-natural brands I have tried.  All the varieties in the McCann's variety pack taste good.  It can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issue.<br /><br />McCann's use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product.  Real sugar tastes better and is not as harmful as the other stuff. One thing I do not like, though, is McCann's use of thickeners.  Oats plus water plus heat should make a creamy, tasty oatmeal without the need for guar gum. But this is a convenience product.  Maybe the guar gum is why, after sitting in the bowl a while, the instant McCann's becomes too thick and gluey.",2006-11-13,2006,2006-11,Positive,1099,mccann s instant oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it there is no escaping the fact however that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation still the mccann s is as good as it gets for instant oatmeal it s even better than the organic all natural brands i have tried all the varieties in the mccann s variety pack taste good it can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issue br br mccann s use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product real sugar tastes better and is not as harmful as the other stuff one thing i do not like though is mccann s use of thickeners oats plus water plus heat should make a creamy tasty oatmeal without the need for guar gum but this is a convenience product maybe the guar gum is why after sitting in the bowl a while the instant mccann s becomes too thick and gluey,mccann instant oatmeal great must oatmeal scrape together two three minutes prepare escaping fact however even best instant oatmeal nowhere near good even store brand oatmeal requiring stovetop preparation still mccann good gets instant oatmeal even better organic natural brands tried varieties mccann variety pack taste good prepared microwave adding boiling water convenient extreme time issue br br mccann use actual cane sugar instead high fructose corn syrup helped decide buy product real sugar tastes better harmful stuff one thing like though mccann use thickeners oats plus water plus heat make creamy tasty oatmeal without need guar gum convenience product maybe guar gum sitting bowl instant mccann becomes thick gluey,mccann instant oatmeal great must oatmeal scrape together two three minute prepare escaping fact however even best instant oatmeal nowhere near good even store brand oatmeal requiring stovetop preparation still mccann good get instant oatmeal even better organic natural brand tried variety mccann variety pack taste good prepared microwave adding boiling water convenient extreme time issue br br mccann use actual cane sugar instead high fructose corn syrup helped decide buy product real sugar taste better harmful stuff one thing like though mccann use thickener oat plus water plus heat make creamy tasty oatmeal without need guar gum convenience product maybe guar gum sitting bowl instant mccann becomes thick gluey,3,Tea & Beverages,0.072072
