Id,ProductId,Score,Summary,Text,Date,Year,Month,Sentiment,Review_Length,Final_Text,Dominant_Topic
20,B001GVISJM,5,Home delivered twizlers,Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me.,2011-10-08,2011,2011-10,Positive,145,candy delivered fast purchased reasonable price home bound unable get store perfect,3
21,B001GVISJM,5,Always fresh,"My husband is a Twizzlers addict.  We've bought these many times from Amazon because we're government employees living overseas and can't get them in the country we are assigned to.  They've always been fresh and tasty, packed well and arrive in a timely manner.",2011-08-16,2011,2011-08,Positive,262,husband twizzlers addict bought many time amazon government employee living overseas get country assigned always fresh tasty packed well arrive timely manner,3
22,B001GVISJM,5,TWIZZLERS,"I bought these for my husband who is currently overseas. He loves these, and apparently his staff likes them also.<br />There are generous amounts of Twizzlers in each 16-ounce bag, and this was well worth the price. <a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",2011-06-25,2011,2011-06,Positive,323,bought husband currently overseas love apparently staff like also br generous amount twizzlers ounce bag well worth price href strawberry ounce bag pack,1
23,B001GVISJM,5,Delicious product!,I can remember buying this candy as a kid and the quality hasn't dropped in all these years. Still a superb product you won't be disappointed with.,2011-05-09,2011,2011-05,Positive,147,remember buying candy kid quality dropped year still superb product disappointed,3
24,B001GVISJM,5,Twizzlers,I love this candy.  After weight watchers I had to cut back but still have a craving for it.,2011-05-04,2011,2011-05,Positive,92,love candy weight watcher cut back still craving,3
25,B001GVISJM,5,Please sell these in Mexico!!,"I have lived out of the US for over 7 yrs now, and I so miss my Twizzlers!!  When I go back to visit or someone visits me, I always stock up.  All I can say is YUM!<br />Sell these in Mexico and you will have a faithful buyer, more often than I'm able to buy them right now.",2011-01-20,2011,2011-01,Positive,274,lived u yr miss twizzlers go back visit someone visit always stock say yum br sell mexico faithful buyer often able buy right,1
26,B001GVISJM,5,Twizzlers - Strawberry,"Product received is as advertised.<br /><br /><a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>",2010-10-29,2010,2010-10,Positive,152,product received advertised br br href strawberry ounce bag pack,1
27,B001GVISJM,1,Nasty No flavor,"The candy is just red , No flavor . Just  plan and chewy .  I would never buy them again",2012-03-25,2012,2012-03,Negative,88,candy red flavor plan chewy would never buy,3
28,B001GVISJM,4,Great Bargain for the Price,I was so glad Amazon carried these batteries.  I have a hard time finding them elsewhere because they are such a unique size.  I need them for my garage door opener.<br />Great deal for the price.,2012-03-16,2012,2012-03,Positive,196,glad amazon carried battery hard time finding elsewhere unique size need garage door opener br great deal price,3
29,B00144C10S,5,YUMMY!,"I got this for my Mum who is not diabetic but needs to watch her sugar intake, and my father who simply chooses to limit unnecessary sugar intake - she's the one with the sweet tooth - they both LOVED these toffees, you would never guess that they're sugar-free and it's so great that you can eat them pretty much guilt free!  i was so impressed that i've ordered some for myself (w dark chocolate) to take to the office so i'll eat them instead of snacking on sugary sweets.<br />These are just EXCELLENT!",2012-06-05,2012,2012-06,Positive,506,got mum diabetic need watch sugar intake father simply chooses limit unnecessary sugar intake one sweet tooth loved toffee would never guess sugar free great eat pretty much guilt free impressed ordered w dark chocolate take office eat instead snacking sugary sweet br excellent,3
30,B0001PB9FY,5,The Best Hot Sauce in the World,"I don't know if it's the cactus or the tequila or just the unique combination of ingredients, but the flavour of this hot sauce makes it one of a kind!  We picked up a bottle once on a trip we were on and brought it back home with us and were totally blown away!  When we realized that we simply couldn't find it anywhere in our city we were bummed.<br /><br />Now, because of the magic of the internet, we have a case of the sauce and are ecstatic because of it.<br /><br />If you love hot sauce..I mean really love hot sauce, but don't want a sauce that tastelessly burns your throat, grab a bottle of Tequila Picante Gourmet de Inclan.  Just realize that once you taste it, you will never want to use any other sauce.<br /><br />Thank you for the personal, incredible service!",2005-02-08,2005,2005-02,Positive,779,know cactus tequila unique combination ingredient flavour hot sauce make one kind picked bottle trip brought back home u totally blown away realized simply find anywhere city bummed br br magic internet case sauce ecstatic br br love hot sauce mean really love hot sauce want sauce tastelessly burn throat grab bottle tequila picante gourmet de inclan realize taste never want use sauce br br thank personal incredible service,1
31,B003F6UO7K,5,Great machine!,"I have never been a huge coffee fan. However, my mother purchased this little machine and talked me into trying the Latte Macciato. No Coffee Shop has a better one and I like most of the other products, too (as a usually non-coffee drinker!).<br />The little Dolche Guesto Machine is super easy to use and prepares a really good Coffee/Latte/Cappuccino/etc in less than a minute (if water is heated up). I would recommend the Dolce Gusto to anyone. Too good for the price and I'am getting one myself! :)",2011-02-14,2011,2011-02,Positive,503,never huge coffee fan however mother purchased little machine talked trying latte macciato coffee shop better one like product usually non coffee drinker br little dolche guesto machine super easy use prepares really good coffee latte cappuccino etc less minute water heated would recommend dolce gusto anyone good price getting one,5
32,B003F6UO7K,5,THIS IS MY TASTE...,"This offer is a great price and a great taste, thanks Amazon for selling this product.<br /><br />Staral",2010-10-29,2010,2010-10,Positive,104,offer great price great taste thanks amazon selling product br br staral,1
33,B001EO5QW8,4,Best of the Instant Oatmeals,"McCann's Instant Oatmeal is great if you must have your oatmeal but can only scrape together two or three minutes to prepare it. There is no escaping the fact, however, that even the best instant oatmeal is nowhere near as good as even a store brand of oatmeal requiring stovetop preparation.  Still, the McCann's is as good as it gets for instant oatmeal. It's even better than the organic, all-natural brands I have tried.  All the varieties in the McCann's variety pack taste good.  It can be prepared in the microwave or by adding boiling water so it is convenient in the extreme when time is an issue.<br /><br />McCann's use of actual cane sugar instead of high fructose corn syrup helped me decide to buy this product.  Real sugar tastes better and is not as harmful as the other stuff. One thing I do not like, though, is McCann's use of thickeners.  Oats plus water plus heat should make a creamy, tasty oatmeal without the need for guar gum. But this is a convenience product.  Maybe the guar gum is why, after sitting in the bowl a while, the instant McCann's becomes too thick and gluey.",2006-11-13,2006,2006-11,Positive,1099,mccann instant oatmeal great must oatmeal scrape together two three minute prepare escaping fact however even best instant oatmeal nowhere near good even store brand oatmeal requiring stovetop preparation still mccann good get instant oatmeal even better organic natural brand tried variety mccann variety pack taste good prepared microwave adding boiling water convenient extreme time issue br br mccann use actual cane sugar instead high fructose corn syrup helped decide buy product real sugar taste better harmful stuff one thing like though mccann use thickener oat plus water plus heat make creamy tasty oatmeal without need guar gum convenience product maybe guar gum sitting bowl instant mccann becomes thick gluey,3
34,B001EO5QW8,4,Good Instant,"This is a good instant oatmeal from the best oatmeal brand.  It uses cane sugar instead of high fructouse corn syrup, so not only does it have a better sweetness, but some doctors now say that this form of sugar is better for you.  Great on a cold morning when you don't have time to make McCann's Steel Cut Oats.  The apple cinnamon is the best but the maple and brown sugar or the regular are good too.  Plus they don't require doctoring to actually tell the three flavors apart.",2006-12-17,2006,2006-12,Positive,481,good instant oatmeal best oatmeal brand us cane sugar instead high fructouse corn syrup better sweetness doctor say form sugar better great cold morning time make mccann steel cut oat apple cinnamon best maple brown sugar regular good plus require doctoring actually tell three flavor apart,3
35,B001EO5QW8,5,Great Irish oatmeal for those in a hurry!,"Instant oatmeal can become soggy the minute the water hits the bowl. McCann's Instant Oatmeal holds its texture, has excellent flavor, and is good for you all at the same time. McCann's regular oat meal is excellent, too, but may take a bit longer to prepare than most have time for in the morning. This is the best instant brand I've ever eaten, and a very close second to the non-instant variety.<br /><br />McCann's Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)",2007-03-30,2007,2007-03,Positive,537,instant oatmeal become soggy minute water hit bowl mccann instant oatmeal hold texture excellent flavor good time mccann regular oat meal excellent may take bit longer prepare time morning best instant brand ever eaten close second non instant variety br br mccann instant irish oatmeal variety pack regular apple cinnamon maple brown sugar count box pack,3
36,B001EO5QW8,4,satisfying,"McCann's Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)<br /><br />I'm a fan of the McCann's steel-cut oats, so I thought I'd give the instant variety a try. I found it to be a hardy meal, not too sweet, and great for folks like me (post-bariatric surgery) who need food that is palatable, easily digestible, with fiber but won't make you bloat.",2008-05-11,2008,2008-05,Positive,417,mccann instant irish oatmeal variety pack regular apple cinnamon maple brown sugar count box pack br br fan mccann steel cut oat thought give instant variety try found hardy meal sweet great folk like post bariatric surgery need food palatable easily digestible fiber make bloat,1
37,B001EO5QW8,5,Love Gluten Free Oatmeal!!!,"For those of us with celiac disease this product is a lifesaver and what could be better than getting it at almost half the price of the grocery or health food store!  I love McCann's instant oatmeal - all flavors!!!<br /><br />Thanks,<br />Abby",2007-09-27,2007,2007-09,Positive,245,u celiac disease product lifesaver could better getting almost half price grocery health food store love mccann instant oatmeal flavor br br thanks br abby,1
38,B001EO5QW8,5,it's oatmeal,"What else do you need to know? Oatmeal, instant (make it with a half cup of low-fat milk and add raisins;nuke for 90 seconds). More expensive than Kroger store brand oatmeal and maybe a little tastier or better texture or something. It's still just oatmeal. Mmm, convenient!",2009-03-31,2009,2009-03,Positive,274,else need know oatmeal instant make half cup low fat milk add raisin nuke second expensive kroger store brand oatmeal maybe little tastier better texture something still oatmeal mmm convenient,3
39,B001EO5QW8,4,GOOD WAY TO START THE DAY....,"I WAS VISITING MY FRIEND NATE THE OTHER MORNING FOR COFFEE , HE CAME OUT OF HIS STORAGE ROOM WITH ( A PACKET OF McCANNS INSTANT IRISH OATMEAL .) HE SUGGESTED THAT I TRY IT FOR MY OWN USE ,IN MY STASH . SOMETIMES NATE DOSE NOT GIVE YOU A CHANCE TO SAY NO , SO I ENDED UP TRYING THE APPLE AND CINN . FOUND IT TO BE VERY TASTEFULL WHEN MADE WITH WATER OR POWDERED MILK . IT GOES GOOD WITH O.J. AND COFFEE AND A SLICE OF TOAST AND YOUR READY TO TAKE ON THE WORLD...OR THE DAY AT LEAST..  JERRY REITH...",2012-10-21,2012,2012-10,Positive,498,visiting friend nate morning coffee came storage room packet mccanns instant irish oatmeal suggested try use stash sometimes nate dose give chance say ended trying apple cinn found tastefull made water powdered milk go good j coffee slice toast ready take world day least jerry reith,5
40,B001EO5QW8,5,Wife's favorite Breakfast,"I ordered this for my wife as it was reccomended by our daughter.  She has this almost every morning and likes all flavors.  She's happy, I'm happy!!!<br /><a href=""http://www.amazon.com/gp/product/B001EO5QW8"">McCANN'S Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)</a>",2011-09-28,2011,2011-09,Positive,341,ordered wife reccomended daughter almost every morning like flavor happy happy br href instant irish oatmeal variety pack regular apple cinnamon maple brown sugar count box pack,1
41,B001EO5QW8,5,Why wouldn't you buy oatmeal from Mcanns? Tastes great!,"The variety packs taste great!<br /><br />I have them every morning. At $0.30 cents per meal, I don't understand why everyone on earth isn't buying this stuff up.<br /><br />Maple and brown sugar is terrific, followed by apples and cinnamon, followed by regular. You don't get tired of the same ole thing, and they taste great.<br /><br />I just boil water from a small pot, empty the packet or 2 in a bowl, pour in boiling water, and watch it expand to 2x its size!<br /><br />Taste really good and takes minutes to prepare.<br /><br />Not sure why everyone on earth isn't this. Convenient, healthy, very quick, excellent quality, and extremely cheap...",2011-04-22,2011,2011-04,Positive,654,variety pack taste great br br every morning cent per meal understand everyone earth buying stuff br br maple brown sugar terrific followed apple cinnamon followed regular get tired ole thing taste great br br boil water small pot empty packet bowl pour boiling water watch expand x size br br taste really good take minute prepare br br sure everyone earth convenient healthy quick excellent quality extremely cheap,1
42,B001EO5QW8,5,Oatmeal For Oatmeal Lovers,"McCann's makes oatmeal for every oatmeal connoisseur, whether one likes it from the raw pellet state that cooks for half an hour, to the sloth addled instant, which can be done in the microwave for under three minutes. It's all good, that's for sure, and the beauty of the instant variety is that it is available in different flavors as well as regular.<br />  This variety pack allows different tastes to be explored, as well as giving you a chance to experience the difference between McCann's and other well-known oatmeals. What I personally like about McCann's is that it cooks up thicker and with more body than the top brand here in America. The Apples & Cinnamon, though, tends to be a little liquidy so you may want to experiment with the amount of water you add. In my 1300watt microwave the oatmeal cooks up in about one minute and twenty-seven seconds, so you should also watch that to get a handle on how much time and water to use.<br />  The only bad thing -- if you can consider it a bad thing -- about this offering is that you have to buy in lot so you'll end up with six ten-count boxes. This is good if you have a whole family of oatmeal-eaters, but if you're a single person alone -- well, love oatmeal.",2011-04-07,2011,2011-04,Positive,1223,mccann make oatmeal every oatmeal connoisseur whether one like raw pellet state cook half hour sloth addled instant done microwave three minute good sure beauty instant variety available different flavor well regular br variety pack allows different taste explored well giving chance experience difference mccann well known oatmeal personally like mccann cook thicker body top brand america apple cinnamon though tends little liquidy may want experiment amount water add watt microwave oatmeal cook one minute twenty seven second also watch get handle much time water use br bad thing consider bad thing offering buy lot end six ten count box good whole family oatmeal eater single person alone well love oatmeal,3
43,B001EO5QW8,5,Food-Great,I have McCann's Oatmeal every morning and by ordering it from Amazon I am able to save almost $3.00 per box.<br />It is a great product. Tastes great and very healthy,2010-10-14,2010,2010-10,Positive,166,mccann oatmeal every morning ordering amazon able save almost per box br great product taste great healthy,3
44,B001EO5QW8,5,Good Hot Breakfast,"McCann's Oatmeal is a good quality choice.  Our favorite is the Apples and Cinnamon, but we find that none of these are overly sugary.  For a good hot breakfast in 2 minutes, this is excellent.",2009-10-13,2009,2009-10,Positive,193,mccann oatmeal good quality choice favorite apple cinnamon find none overly sugary good hot breakfast minute excellent,3
45,B001EO5QW8,5,Great taste and convenience,We really like the McCann's steel cut oats but find we don't cook it up too often.<br />This tastes much better to me than the grocery store brands and is just as convenient.<br />Anything that keeps me eating oatmeal regularly is a good thing.,2008-05-02,2008,2008-05,Positive,244,really like mccann steel cut oat find cook often br taste much better grocery store brand convenient br anything keep eating oatmeal regularly good thing,1
46,B001EO5QW8,3,Hearty Oatmeal,"This seems a little more wholesome than some of the supermarket brands, but it is somewhat mushy and doesn't have quite as much flavor either.  It didn't pass muster with my kids, so I probably won't buy it again.",2008-03-11,2008,2008-03,Neutral,213,seems little wholesome supermarket brand somewhat mushy quite much flavor either pas muster kid probably buy,3
47,B001EO5QW8,5,good,Good oatmeal.  I like the apple cinnamon the best.  Though I wouldn't follow the directions on the package since it always comes out too soupy for my taste.  That could just be me since I like my oatmeal really thick to add some milk on top of.,2007-10-19,2007,2007-10,Positive,244,good oatmeal like apple cinnamon best though follow direction package since always come soupy taste could since like oatmeal really thick add milk top,3
48,B001EO5QW8,3,Mushy,"The flavors are good.  However, I do not see any differce between this and Oaker Oats brand - they are both mushy.",2008-01-12,2008,2008-01,Neutral,114,flavor good however see differce oaker oat brand mushy,3
49,B001EO5QW8,4,Very good but next time I won't order the Variety Pack,"I really like the Maple and Brown Sugar flavor. The regular is fine with brown sugar added. The Apples and Cinnamon flavor is OK. This is a very quick, easy and satisfying breakfast and I'll order this brand again, but not the variety. I'll get all Maple and Brown Sugar.",2007-10-07,2007,2007-10,Positive,271,really like maple brown sugar flavor regular fine brown sugar added apple cinnamon flavor ok quick easy satisfying breakfast order brand variety get maple brown sugar,3
50,B001EO5QW8,3,Same stuff,This is the same stuff you can buy at the big box stores.  There is nothing healthy about it.  It is just carbs and sugars.  Save your money and get something that at least has some taste.,2012-04-10,2012,2012-04,Neutral,188,stuff buy big box store nothing healthy carbs sugar save money get something least taste,3
51,B001EO5QW8,1,Don't like it,"This oatmeal is not good. Its mushy, soft, I don't like it. Quaker Oats is the way to go.",2008-02-19,2008,2008-02,Negative,89,oatmeal good mushy soft like quaker oat way go,3
52,B000G6RPMY,5,HOT!  And good!  Came back for more  :),"Got a free package of these with a bottle of bloody mary mix I bought from the seller, and the advertising worked..lol,  I tried them, and shared them with 2 buddies, and we all loved them...  So im here to buy more, and noticed there were no reviews yet,...  well now there is.  They are Hot,  but not ""burn your mouth forever hot""  its a nice temp...  Perfect for us..",2009-06-02,2009,2009-06,Positive,370,got free package bottle bloody mary mix bought seller advertising worked lol tried shared buddy loved im buy noticed review yet well hot burn mouth forever hot nice temp perfect u,3
53,B000G6RPMY,4,You'll go nuts over Ass-Kickin' Peanuts.,"This wasn't in stock the last time I looked. I had to go to the Vermont Country Store in Weston to find it along with a jaw harp, Cranberry Horseradish Sauce, Fartless Black Bean Salsa, Apple Cider Jelly, Newton's Cradle Art in Motion and the staple Vermont Maple Syrup.<br /><br />Back to the Ass Kickin Peanuts. They are hot. They will activate the perspiration glands behind your ears and under your arms. It requires a beverage as advertised, a glass of very cold milk, and a box of Kleenex since it will make your nose run. They look like ordinary peanuts which is already giving me ideas for work. I suspect that some people have been hitting my goodies in my absence, especially my colleague Greg. I'm going to take this to work at earliest opportunity and empty the contents of this can into an ordinary Planters Peanuts can, and then see whose crying or whose nose is running when I return.<br /><br />The can should be shaken to ensure the spices are evenly distributed. It is important to wash your hands after consumption and not touch the eyes.<br /><br />You'll go nuts over these Ass-Kickin' Peanuts.<br /><br />P.S. I'm not sharing the peanuts, not deliberately, and I'll probably give Greg the jaw harp for Christmas. He'll be so insulted.",2012-09-29,2012,2012-09,Positive,1256,stock last time looked go vermont country store weston find along jaw harp cranberry horseradish sauce fartless black bean salsa apple cider jelly newton cradle art motion staple vermont maple syrup br br back as kickin peanut hot activate perspiration gland behind ear arm requires beverage advertised glass cold milk box kleenex since make nose run look like ordinary peanut already giving idea work suspect people hitting goody absence especially colleague greg going take work earliest opportunity empty content ordinary planter peanut see whose cry whose nose running return br br shaken ensure spice evenly distributed important wash hand consumption touch eye br br go nut as kickin peanut br br p sharing peanut deliberately probably give greg jaw harp christmas insulted,1
54,B000G6RPMY,3,not ass kickin,we're used to spicy foods down here in south texas and these are not at all spicy.  doubt very much habanero is used at all.  could take it up a notch or two.,2010-07-02,2010,2010-07,Neutral,158,used spicy food south texas spicy doubt much habanero used could take notch two,3
55,B002GWHC0G,4,Roasts up a smooth brew,"I roast at home with a stove-top popcorn popper (but I do it outside, of course). These beans (Coffee Bean Direct Green Mexican Altura) seem to be well-suited for this method. The first and second cracks are distinct, and I've roasted the beans from medium to slightly dark with great results every time. The aroma is strong and persistent. The taste is smooth, velvety, yet lively.",2011-11-28,2011,2011-11,Positive,382,roast home stove top popcorn popper outside course bean coffee bean direct green mexican altura seem well suited method first second crack distinct roasted bean medium slightly dark great result every time aroma strong persistent taste smooth velvety yet lively,5
56,B002GWHC0G,5,Our guests love it!,"We roast these in a large cast iron pan on the grill (about 1/3 of the bag at a time).  The smell is wonderful and the roasted beans taste delicious too.  More importantly, the coffee is smooth; no bitter aftertaste.  On numerous occasions, we've had to send the roasted beans home with friends because they like it so much.",2012-10-05,2012,2012-10,Positive,324,roast large cast iron pan grill bag time smell wonderful roasted bean taste delicious importantly coffee smooth bitter aftertaste numerous occasion send roasted bean home friend like much,5
57,B004N5KULM,5,Awesome Deal!,Deal was awesome!  Arrived before Halloween as indicated and was enough to satisfy trick or treaters.  I love the quality of this product and it was much less expensive than the local store's candy.,2011-11-28,2011,2011-11,Positive,198,deal awesome arrived halloween indicated enough satisfy trick treater love quality product much less expensive local store candy,3
58,B004N5KULM,5,How can you go wrong!,"It is chocolate, what can I say.  Great variety of everything our family loves.  With a family of six it goes fast here.  Perfect variety.  Kit Kat, Reeses, take five and more.",2012-05-05,2012,2012-05,Positive,176,chocolate say great variety everything family love family six go fast perfect variety kit kat reeses take five,3
59,B004N5KULM,5,Awsome - Kids in neighborhood loved us!,"Great product, nice combination of chocolates and perfect size!  The bags had plenty, and they were shipped promptly.  The kids in the neighborhood liked our candies!",2011-11-04,2011,2011-11,Positive,166,great product nice combination chocolate perfect size bag plenty shipped promptly kid neighborhood liked candy,3
60,B004N5KULM,5,great deal.,"Halloween is over but, I sent a bag to my daughters class for her share. The chocolate was fresh and enjoyed by many.",2011-11-01,2011,2011-11,Positive,117,halloween sent bag daughter class share chocolate fresh enjoyed many,3
